Part No,Name,Unit,Cost,Obscure
GL1001,4mm float,m2,50,no
GL1002,4mm float toughened,m2,50,no
GL1003,4mm float Applied Lead,m2,50,no
GL1004,4mm float Applied Lead Toughened,m2,50,no
GL1005,4mm low E,m2,50,no
GL1006,4mm low E Toughened,m2,50,no
GL1007,4mm Satin,m2,50,yes
GL1008,4mm Satin toughened,m2,50,yes
GL1009,4mm Textured Opaque Arctic Pattern,m2,50,yes
GL1010,4mm Textured Opaque Arctic Pattern Toughened,m2,50,yes
GL1011,4mm Textured Opaque Autumn Leaf Pattern,m2,50,yes
GL1012,4mm Textured Opaque Autumn Leaf Pattern Toughened,m2,50,yes
GL1013,4mm Textured Opaque Cassini Pattern,m2,50,yes
GL1014,4mm Textured Opaque Cassini Pattern Toughened ,m2,50,yes
GL1015,4mm Textured Opaque  Chantilly Pattern,m2,50,yes
GL1016,4mm Textured Opaque  Chantilly Pattern Toughened ,m2,50,yes
GL1017,4mm Textured Opaque Charcoal Sticks Pattern,m2,50,yes
GL1018,4mm Textured Opaque Charcoal Sticks Pattern Toughened ,m2,50,yes
GL1019,4mm Textured Opaque Contora Pattern,m2,50,yes
GL1020,4mm Textured Opaque Contora Pattern Toughened,m2,50,yes
GL1021,4mm Textured Opaque Cotswold Pattern,m2,50,yes
GL1022,4mm Textured Opaque Cotswold Pattern Toughened,m2,50,yes
GL1023,4mm Textured Opaque Digital Pattern,m2,50,yes
GL1024,4mm Textured Opaque Digital Pattern Toughened,m2,50,yes
GL1025,4mm Textured Opaque Everglade Pattern,m2,50,yes
GL1026,4mm Textured Opaque Everglade Pattern Toughened,m2,50,yes
GL1027,4mm Textured Opaque Flemish Pattern,m2,50,yes
GL1028,4mm Textured Opaque Flemish Pattern Toughened,m2,50,yes
GL1029,4mm Textured Opaque Florielle Pattern,m2,50,yes
GL1030,4mm Textured Opaque Florielle Pattern Toughened,m2,50,yes
GL1031,4mm Textured Opaque Oak Pattern,m2,50,yes
GL1032,4mm Textured Opaque Oak Pattern Toughened ,m2,50,yes
GL1033,4mm Textured Opaque Pelerine Pattern,m2,50,yes
GL1034,4mm Textured Opaque Pelerine Pattern Toughened,m2,50,yes
GL1035,4mm Textured Opaque Reeded Pattern,m2,50,yes
GL1036,4mm Textured Opaque Reeded Pattern Toughened,m2,50,yes
GL1037,4mm Textured Opaque Stippolyte Pattern,m2,50,yes
GL1038,4mm Textured Opaque Stippolyte Pattern Toughened,m2,50,yes
GL1039,4mm Textured Opaque Sycamore Pattern,m2,50,yes
GL1040,4mm Textured Opaque Sycamore Pattern Toughened,m2,50,yes
GL1041,4mm Textured Opaque Taffeta Pattern,m2,50,yes
GL1042,4mm Textured Opaque Taffeta Pattern Toughened,m2,50,yes
GL1043,4mm Textured Opaque Tribal Pattern,m2,50,yes
GL1044,4mm Textured Opaque Tribal Pattern Toughened,m2,50,yes
GL1045,6mm float,m2,50,no
GL1046,6mm float toughened,m2,50,no
GL1047,6mm low E,m2,50,no
GL1048,6mm low E Toughened,m2,50,no
GL1049,6mm Satin,m2,50,yes
GL1050,6mm Satin toughened,m2,50,yes
GL1051,6mm Textured Opaque Arctic Pattern,m2,50,yes
GL1052,6mm Textured Opaque Arctic Pattern Toughened,m2,50,yes
GL1053,6mm Textured Opaque Autumn Leaf Pattern,m2,50,yes
GL1054,6mm Textured Opaque Autumn Leaf Pattern Toughened,m2,50,yes
