Part Number,Name,Cost (£),Unit of Measure,Type (sash/casement/door),Supplier
I2002,Fitch fastener Non Locking Polished chrome,99,each,Sash,N/A
I2003,Fitch fastener Non Locking Satin chrome,99,each,Sash,N/A
I2004,Fitch fastener Non Locking Satin nickel,99,each,Sash,N/A
I2005,Fitch fastener Non Locking Antique brass,99,each,Sash,N/A
I2006,Brighton Fastener Non Locking Polished Brass,99,each,Sash,N/A
I2007,Brighton Fastener Non Locking Polished chrome,99,each,Sash,N/A
I2008,Brighton Fastener Non Locking Satin chrome,99,each,Sash,N/A
I2009,Brighton Fastener Non Locking Satin nickel,99,each,Sash,N/A
I2010,Brighton Fastener Non Locking Antique brass,99,each,Sash,N/A
I2011,Sash lifts Polished Brass,99,each,Sash,N/A
I2012,Sash lifts Polished chrome,99,each,Sash,N/A
I2013,Sash lifts Satin chrome,99,each,Sash,N/A
I2014,Sash lifts Satin nickel,99,each,Sash,N/A
I2015,Sash lifts Antique brass,99,each,Sash,N/A
I2016,Sash D Handles Polished Brass,99,each,Sash,N/A
I2017,Sash D Handles Polished chrome,99,each,Sash,N/A
I2018,Sash D Handles Satin chrome,99,each,Sash,N/A
I2019,Sash D Handles Satin nickel,99,each,Sash,N/A
I2020,Sash D Handles Antique brass,99,each,Sash,N/A
I2021,Sash Ring Polished Brass,99,each,Sash,N/A
I2022,Sash Ring Polished chrome,99,each,Sash,N/A
I2023,Sash RIng Satin chrome,99,each,Sash,N/A
I2024,Sash Ring Satin nickel,99,each,Sash,N/A
I2025,Sash Ring Antique brass,99,each,Sash,N/A
I2026,Rola Sash Stops Polished Brass,99,each,Sash,N/A
I2027,Rola Sash Stops Polished chrome,99,each,Sash,N/A
I2028,Rola Sash Stops Satin chrome,99,each,Sash,N/A
I2029,Rola Sash Stops Satin nickel,99,each,Sash,N/A
I2030,Rola Sash Stops Antique brass ,99,each,Sash,N/A
I2031,Angel Sash ventlocks Polished Brass,99,each,Sash,Mighton
I2032,Angel Sash ventlocks Polished chrome,99,each,Sash,Mighton
I2033,Angel Sash ventlocks Satin chrome ,99,each,Sash,Mighton
I2034,Angel Sash ventlocks Antique brass,99,each,Sash,Mighton
I2035,Angel Sash ventlocks White,99,each,Sash,Mighton
I2036,Angel Sash ventlocks Black,99,each,Sash,Mighton
I2037,Pulley wheel Radius plate (Narrow back plate) Polished Brass,99,each,Sash,N/A
I2038,Pulley wheel Radius plate (Narrow back plate) Polished chrome,99,each,Sash,N/A
I2039,Pulley wheel Radius plate (Narrow back plate) Satin chrome,99,each,Sash,N/A
I2040,Pulley wheel Radius plate (Narrow back plate) Satin nickel,99,each,Sash,N/A
I2041,Pulley wheel Radius plate (Narrow back plate) Antique brass,99,each,Sash,N/A
I2042,Pulley wheel Radius plate (Wide back plate) Polished Brass,99,each,Sash,N/A
I2043,Pulley wheel Radius plate (Wide back plate) Polished chrome,99,each,Sash,N/A
I2044,Pulley wheel Radius plate (Wide back plate) Satin chrome,99,each,Sash,N/A
I2045,Pulley wheel Radius plate (Wide back plate) Satin nickel,99,each,Sash,N/A
I2046,Pulley wheel Radius plate (Wide back plate) Antique brass,99,each,Sash,N/A
I2047,Pulley wheel Square plate (Narrow back plate) Polished Brass,99,each,Sash,N/A
I2048,Pulley wheel Square plate (Narrow back plate) Polished chrome,99,each,Sash,N/A
I2049,Pulley wheel Square plate (Narrow back plate) Satin chrome,99,each,Sash,N/A
I2050,Pulley wheel Square plate (Narrow back plate) Satin nickel,99,each,Sash,N/A
I2051,Pulley wheel Square plate (Narrow back plate) Antique brass,99,each,Sash,N/A
I2052,Pulley wheel Square plate (Wide back plate) Polished Brass,99,each,Sash,N/A
I2053,Pulley wheel Square plate (Wide back plate) Polished chrome,99,each,Sash,N/A
I2054,Pulley wheel Square plate (Wide back plate) Satin chrome,99,each,Sash,N/A
I2055,Pulley wheel Square plate (Wide back plate) Satin nickel,99,each,Sash,N/A
I2056,Pulley wheel Square plate (Wide back plate) Antique brass,99,each,Sash,N/A
I2202,Casement 3 inch  ball bearing hinge Polished chrome,99,pair,Casement,N/A
I2203,Casement 3 inch ball bearing hinges Satin chrome,99,pair,Casement,N/A
I2204,Casement 3 inch ball bearing hinge Satin nickel,99,pair,Casement,N/A
I2205,Casement 3 inch ball bearing hinge Antique brass,99,pair,Casement,N/A
I2206,Casement 3 inch ball bearing hinge Black,99,pair,Casement,N/A
I2207,Bulb end Traditional casement fastener Brass,99,each,Casement,N/A
I2208,Bulb end Traditional casement fastener Polished chrome,99,each,Casement,N/A
I2209,Bulb end Traditional casement fastener Satin chrome,99,each,Casement,N/A
I2210,Bulb end Traditional casement fastener Satin nickel,99,each,Casement,N/A
I2211,Bulb end Traditional casement fastener Antique brass,99,each,Casement,N/A
I2212,8 inch Bulb end casement stay Brass,99,each,Casement,N/A
I2213,8 inch Bulb end casement stay Polished chrome,99,each,Casement,N/A
I2214,8 inch Bulb end casement stay Satin chrome,99,each,Casement,N/A
I2215,8 inch Bulb end casement stay  Satin nickel,99,each,Casement,N/A
I2216,8 inch Bulb end casement stay  Antique brass,99,each,Casement,N/A
I2217,10 inch Bulb end casement stay Polished Brass,99,each,Casement,N/A
I2218,10 inch Bulb end casement stay Polished chrome,99,each,Casement,N/A
I2219,10 inch Bulb end casement stay Satin chrome,99,each,Casement,N/A
I2220,10 inch Bulb end casement stay Satin nickel,99,each,Casement,N/A
I2221,10 inch Bulb end casement stay Antique brass,99,each,Casement,N/A
I2222,12 inch Bulb end casement stay Polished Brass,99,each,Casement,N/A
I2223,12 inch Bulb end casement stay Polished chrome,99,each,Casement,N/A
