Sort ,Name,Group,Loop,Condition,Qty,Value,Markup,Comment
101,Draught proofing and New sahes materials ,On Site Materials (PL),sliding sash,needs_draughtsealing and not frame_to_be_replaced and is_installation_included,area,3_1_sw_draughtseal_materials_per_sq_m,no_markup,
102,Splice repair Materials,On Site Materials (PL),n/a,needs_draughtsealing and not frame_to_be_replaced and is_installation_included,splice_repair_qty,3_2_splice_repair_materials,no_markup,
103,Resin repair Materials,On Site Materials (PL),n/a,needs_draughtsealing and not frame_to_be_replaced and is_installation_included,resin_repair_qty,3_3_resin_repair_materials,no_markup,
110,Fill repair Materials Standard,On Site Materials (PL),n/a,needs_draughtsealing and not frame_to_be_replaced and is_installation_included,fill_repair_qty,3_31_fill_repair_materials,no_markup,
111,Glass repair Materials Single Glazed,On Site Materials (PL),glass unit,is_hoarg and is_single_glazed and not is_single_pane_special,rounded_area,3_4_single_glass_repair_per_sq_m,no_markup,
112,Glass repair Materials Double Glazed,On Site Materials (PL),glass unit,is_hoarg and is_double_glazed and not (is_inner_pane_special or is_outer_pane_special),rounded_area,3_5_double_glass_repair_per_sq_m,no_markup,
113,Cill replacement Materials Material Price per Metre £3_6_cill_replacement_per_metre,On Site Materials (PL),n/a,,new_cill_length,3_6_cill_replacement_per_metre,no_markup,
114,Replacement Sprial Balances- Price per Pair £3_7_replacement_spirals_per_pair,On Site Materials (PL),sliding sash,is_opening and is_spiral_hung,3_7_replacement_spirals_per_pair,1,no_markup,
115,Lead Make weights,On Site Materials (PL),sliding sash,is_opening and needs_draughtsealing and not to_be_replaced,3_9_lead_make_weights_per_pair,1,no_markup,
121,Draught proofing and New sahes materials (Per m sq £3_11_cw_draughtseal_materials_per_sq_m),On Site Materials (PL),casement sash,needs_draughtsealing and not frame_to_be_replaced and is_installation_included and frame_area_in_m2,1,3_11_cw_draughtseal_materials_per_sq_m,no_markup,
122,Draught proofing Doors materials (Per m sq £3_12_door_draughtseal_materials_per_sq_m),On Site Materials (PL),sliding sash,needs_draughtsealing and not frame_to_be_replaced and is_installation_included and frame_area_in_m2,1,3_12_door_draughtseal_materials_per_sq_m,no_markup,
