Component,Group,Loop,Active,Stocked component,Sort Order,Condition,Quantity,Final Length,Rough Length,Width,Thickness,Material,Notes
Casement Frame Cill (105),Casement Frames (100),frame,Yes,,105,to_be_replaced and casement_sash_qty > 0 and door_leaf_qty == 0,1,cill_length_in_mm,final_length + trimcut,gross_cill_depth_in_mm,cill_height_in_mm,cill_material_id,Comment
Casement Frame Jambs (110),Casement Frames (100),frame,Yes,,110,to_be_replaced and casement_sash_qty > 0 and door_leaf_qty == 0,2,frame_height_in_mm,final_length + trimcut,frame_depth_in_mm,jamb_right_in_mm,frame_material_id,
Casement Frame Head (120),Casement Frames (100),frame,Yes,,120,to_be_replaced and casement_sash_qty > 0 and door_leaf_qty == 0,1,([frame_width_in_mm] == [cill_length_in_mm])? [frame_width_in_mm]:[cill_length_in_mm],final_length + trimcut,frame_depth_in_mm,head_height_in_mm,frame_material_id,
Frame Transom (122),Casement Frames (100),frame_divider,Yes,,122,is_frame_to_be_replaced and is_horizontal and not is_partial and not is_hollow_box and not is_solid_spiral_jamb,1,frame_width_in_mm,final_length+trimcut,gross_width_in_mm,frame_depth_in_mm,frame_material_id,
Flush Casement Head Drip (124),Casement Frames (100),frame,Yes,,124,to_be_replaced and not is_sw and casement_sash_qty > 0 and door_leaf_qty == 0,1,frame_width_in_mm,final_length+trimcut,45,26,frame_material_id,
Casement Bottom Rail (205),Casement Sashes (200),sash,Yes,,205,to_be_replaced and is_casement_sash,1,gross_sash_width_in_mm,final_length+trimcut,gross_bottom_rail_height_in_mm,sash_thickness,frame_material_id,
Casement Sash Stiles (220),Casement Sashes (200),casement_sash,Yes,,220,to_be_replaced and gross_left_sash_stile_width_in_mm == gross_right_sash_stile_width_in_mm and not is_french_casement_sash,2,gross_sash_width_in_mm,final_length+trimcut,gross_left_sash_stile_width_in_mm,sash_thickness,sash_material_id,
Casement Sash Top Rail (235),Casement Sashes (200),casement_sash,Yes,,235,to_be_replaced,2,gross_sash_width_in_mm,final_length+trimcut,gross_sash_head_height_in_mm,sash_thickness,sash_material_id,
Casement Sash Transom (240),Casement Sashes (200),partial_sash_divider,Yes,,240,is_sash_to_be_replaced and is_horizontal and is_in_casement_sash,1,visible_length_in_mm  + (18 * 2) ,final_length+trimcut,width_in_mm,sash_thickness_in_mm,sash_material_id,
Casement Sash Mullion (245),Casement Sashes (200),partial_sash_divider,Yes,,245,is_sash_to_be_replaced and is_vertical and is_in_casement_sash,1,visible_length_in_mm  + (18 * 2)  ,final_length+trimcut,width_in_mm,sash_thickness_in_mm,sash_material_id,
Cill Sash Window (300),Sash Window Frames (300),frame,Yes,,300,(new_cill_qty or to_be_replaced) and is_sw,1,frame_width_in_mm,final_length+ trimcut,gross_cill_depth_in_mm,cill_profiled_height_in_mm,cill_material_id,
